No,Longitude,Latitude,Date,Cruise,Zeu,Watermass,Distco,SST,SSS,SSChla,T,S,DIN,DIP,DSi,Chla,Chla_Micro,Chla_Nano,Chla_Pico,PPP,DPP,TPP,PER,BP,BR,BCD,BGE
1,119.36,25.15,2006/7/3,2006 (July-August),3.52,Mixed,3.53,27.2,33,3.76,27.2,33,6.39,0.25,25.46,3.72,1.58,1.97,0.18,367.2,58.8,426,0.14,27.36,562.8,590.16,0.05
2,120.37,26.83,2006/7/19,2006 (July-August),5.42,Mixed,7.14,27.34,33.05,5.96,26.92,33.18,8.2,0.76,21.32,4.27,2.75,1.41,0.1,451.44,44.64,496.08,0.09,20.88,609.6,630.48,0.03
3,120.62,26.68,2006/7/20,2006 (July-August),7.32,Mixed,23.52,26.81,32.02,4.22,26.73,32.23,6.46,0.29,17.63,3.08,1.69,1.03,0.3,315.12,38.64,353.76,0.11,37.92,353.04,390.96,0.1
4,121.14,26.38,2006/7/20,2006 (July-August),23.03,Mixed,62.91,27.42,33.54,0.73,27.17,33.54,3.15,0.09,11.82,0.71,0.13,0.29,0.3,58.32,10.56,68.88,0.15,12,39.84,51.84,0.23
5,121.37,26.22,2006/7/20,2006 (July-August),29.27,Oligotrophic,84.73,28.37,33.6,0.49,28.26,33.62,2.33,0.07,11.6,0.48,0.05,0.21,0.21,33.36,8.4,41.76,0.2,9.36,24.24,33.6,0.28
6,120.37,26.36,2006/7/21,2006 (July-August),16.26,Mixed,12.2,26.9,31.53,4.53,26.2,32.66,3.21,0.1,19.04,3.66,1.89,1.59,0.17,179.76,24.24,204.24,0.12,13.44,288.96,302.4,0.04
7,120.13,26.29,2006/7/24,2006 (July-August),12.19,Mixed,10.67,28.11,31.92,3.15,25.98,33.26,4.09,0.14,24.22,4.34,2.2,2,0.13,253.44,19.92,273.6,0.07,14.88,261.36,276.24,0.05
8,119.66,26.12,2006/7/24,2006 (July-August),0.81,Plume,1,25.94,16.06,3.52,25.94,16.07,45.52,1.79,144.83,3.53,2.45,1,0.08,593.04,31.92,624.96,0.05,6.72,527.28,534,0.01
9,120.38,26.05,2006/7/28,2006 (July-August),14.09,Upwelling,35.07,26.08,33.87,0.44,25.62,33.88,3.54,0.08,10.57,1.29,0.38,0.73,0.18,50.64,8.88,59.28,0.15,8.4,66.24,74.64,0.11
10,121,25.67,2006/7/28,2006 (July-August),32.51,Oligotrophic,68.18,27.41,33.66,0.33,26.96,33.72,3.12,0.06,12.15,0.38,0.05,0.16,0.16,32.88,11.04,43.92,0.25,10.8,31.44,42.24,0.26
11,120.13,25.88,2006/7/28,2006 (July-August),8.13,Mixed,12.98,27.97,32.58,2.04,27.16,33.12,3.25,0.1,11.99,3.36,1.5,1.7,0.15,61.2,8.88,70.08,0.13,6.72,88.56,95.28,0.07
12,120.25,25.46,2006/7/28,2006 (July-August),23.03,Oligotrophic,35.05,27.33,33.63,0.33,26.26,33.72,2.72,0.04,13.84,0.58,0.09,0.24,0.25,50.16,17.76,67.68,0.26,11.52,84.48,96,0.12
13,120.75,25.82,2006/7/29,2006 (July-August),25.75,Oligotrophic,61.71,27.49,33.64,0.33,27.16,33.64,3.09,0.05,11.93,0.48,0.07,0.2,0.21,44.4,11.28,55.92,0.2,11.28,36.72,48,0.24
14,120.59,25.24,2006/7/29,2006 (July-August),31.16,Oligotrophic,52.19,27.86,33.65,0.28,26.92,33.58,2.65,0.05,8.57,0.67,0.07,0.29,0.3,30.48,12.72,43.44,0.29,10.8,35.28,46.08,0.23
15,120.25,24.77,2006/7/30,2006 (July-August),38.74,Oligotrophic,53.42,27.65,33.64,0.17,26.4,33.8,2.93,0.12,10.14,0.37,0.04,0.12,0.21,18.48,7.92,26.4,0.3,7.68,17.28,24.96,0.31
16,120,24.92,2006/7/31,2006 (July-August),33.6,Oligotrophic,44.82,27.48,33.68,0.26,26.38,33.82,2.79,0.07,15.54,0.56,0.08,0.21,0.27,28.56,11.04,39.6,0.28,6.96,40.8,47.76,0.15
17,118.78,24.8,2006/7/31,2006 (July-August),2.71,Plume,1,27.14,26.69,4.9,27.08,26.73,16.41,0.62,45.27,4.93,1.97,2.84,0.12,492.24,55.2,547.68,0.1,25.92,504.48,530.4,0.05
18,119,24.79,2006/7/31,2006 (July-August),7.59,Mixed,6.64,27.41,32.99,4.57,27.14,33.09,6.05,0.22,22.06,4.95,1.96,2.81,0.18,332.64,67.2,399.84,0.17,29.52,534.24,563.76,0.05
19,119.13,24.71,2006/7/31,2006 (July-August),35.22,Mixed,19.44,27.19,33.6,3.08,25.98,33.76,6.62,0.18,18.41,3.32,1.26,1.87,0.2,200.4,42.48,242.88,0.17,20.64,299.52,320.16,0.06
20,119.75,24.34,2006/7/31,2006 (July-August),33.87,Oligotrophic,65.99,28.15,33.48,0.5,27.13,33.62,3.67,0.06,6.31,0.98,0.12,0.4,0.46,20.64,10.08,30.72,0.33,8.88,22.8,31.68,0.28
21,119.22,23.94,2006/8/2,2006 (July-August),39.3,Mixed,41.16,27.56,33.7,0.69,26.2,33.78,3.01,0.11,8.25,0.83,0.08,0.3,0.46,22.56,12.72,35.28,0.36,10.56,24.96,35.52,0.3
22,118.75,23.85,2006/8/2,2006 (July-August),29.81,Mixed,68.15,28.17,33.47,1.72,26.67,33.63,2.16,0.06,12.99,0.91,0.16,0.43,0.28,106.08,40.08,146.16,0.27,25.68,140.16,165.84,0.15
23,118.12,24.05,2006/8/5,2006 (July-August),7.59,Mixed,17.01,27.71,30.51,2.09,26.93,31.15,6.26,0.17,29.26,2,0.41,1.1,0.17,268.56,47.28,315.84,0.15,30.24,290.16,320.4,0.09
24,118.13,23.83,2006/8/6,2006 (July-August),31.16,Upwelling,27.84,25.74,32.95,2.4,23.7,33.47,4.79,0.14,19.36,1.35,0.43,0.74,0.18,171.6,36.96,208.32,0.18,22.08,193.68,215.76,0.1
25,118.98,23.13,2006/8/6,2006 (July-August),24.38,Mixed,47.5,27.7,33.62,0.95,27.2,33.63,1.86,0.04,5.14,0.43,0.02,0.15,0.22,93.84,33.36,127.2,0.26,25.92,34.8,60.72,0.43
26,117.59,23.59,2006/8/7,2006 (July-August),5.96,Upwelling,10.55,25.35,30.59,1.35,24.61,31.44,3.36,0.15,15.4,1.13,0.22,0.73,0.18,348.48,28.32,376.56,0.08,31.44,126.72,158.16,0.2
27,117.86,23.2,2006/8/7,2006 (July-August),29,Oligotrophic,56.37,27.65,33.29,0.45,27.33,33.29,1.71,0.07,10.37,0.56,0.06,0.26,0.24,39.36,9.84,49.2,0.2,12,30,42,0.29
28,118.21,22.93,2006/8/7,2006 (July-August),27.09,Upwelling,103.1,26.09,33.93,1.34,25.84,34.06,2.24,0.1,10.21,1.16,0.12,0.72,0.32,106.56,16.56,123.12,0.13,20.64,70.32,90.96,0.23
29,117.55,22.29,2006/8/12,2006 (July-August),48.77,Oligotrophic,127.05,29.61,33.44,0.29,27.83,33.66,2.47,0.05,4.81,0.4,0.02,0.11,0.26,26.64,16.8,43.44,0.39,12,20.64,32.64,0.37
30,119,23.46,2006/8/18,2006 (July-August),33.88,Mixed,34.07,28.2,33.66,1.05,27.26,33.69,0.97,0.03,4.21,0.47,0.07,0.11,0.29,57.6,26.4,84,0.31,26.88,42,68.88,0.39
31,118.7,23.45,2009/6/10,2009 (June),27.1,Upwelling,62.43,26.57,34.25,0.33,26.44,34.24,1.2,0.05,2.95,0.41,0.07,0.12,0.23,52.8,19.44,72.24,0.27,16.08,56.16,72.24,0.22
32,117.95,23.79,2009/6/10,2009 (June),18.97,Upwelling,18.56,26.27,34.02,1.5,25.88,34.02,4.64,0.28,22.93,1.43,0.51,0.68,0.24,272.16,49.92,321.84,0.16,28.8,268.08,296.88,0.1
33,118.15,23.55,2009/6/10,2009 (June),21.68,Upwelling,46.91,25.87,34.15,1.05,25.48,34.16,3.3,0.16,11.73,1.13,0.24,0.62,0.27,149.28,35.04,184.32,0.19,30,134.88,164.88,0.18
34,118.52,23.21,2009/6/10,2009 (June),16.26,Upwelling,85.05,26.69,34.26,0.49,26.69,34.26,1.66,0.08,10.91,0.65,0.08,0.21,0.36,45.6,14.88,60.48,0.25,15.36,34.32,49.68,0.31
35,117.38,23.47,2009/6/11,2009 (June),8.13,Mixed,7.26,27.24,33.03,1.32,26.6,33.39,2.78,0.15,6.55,1.17,0.28,0.7,0.19,291.6,21.6,313.2,0.07,22.08,93.12,115.2,0.19
36,117.48,23.38,2009/6/11,2009 (June),9.49,Upwelling,22.32,25.89,34.1,1.2,25.78,34.11,3.47,0.13,13.06,1.07,0.24,0.62,0.2,277.92,25.44,303.36,0.08,29.76,100.56,130.32,0.23
37,117.73,23.12,2009/6/11,2009 (June),29.27,Upwelling,56.12,26.72,34.14,0.44,26.56,34.14,1.73,0.07,10.9,0.53,0.06,0.21,0.25,40.8,10.56,51.12,0.21,12.48,30.96,43.44,0.29
38,118.22,22.73,2009/6/11,2009 (June),28.46,Upwelling,123.3,26.3,34.1,0.89,25.51,34.2,1.88,0.07,6.78,0.9,0.08,0.5,0.33,108.72,20.4,129.12,0.16,28.8,66.96,95.76,0.3
39,117.11,23.29,2009/6/12,2009 (June),8.13,Upwelling,10.16,25.99,33.42,1.04,25.66,33.64,2.89,0.21,15.69,1.24,0.31,0.45,0.19,274.32,21.36,295.68,0.07,23.04,95.52,118.56,0.19
40,117.19,23.21,2009/6/12,2009 (June),9.49,Mixed,19.95,27.34,33.74,1.41,26.8,33.89,2.93,0.17,11.87,1.21,0.24,0.45,0.2,249.36,22.8,272.16,0.08,26.4,88.56,114.96,0.23
41,117.5,22.91,2009/6/12,2009 (June),29.81,Oligotrophic,63.33,27.56,33.82,0.39,26.8,33.93,1.61,0.18,8.13,0.36,0.04,0.14,0.18,39.36,10.8,50.16,0.22,13.68,28.08,41.76,0.33
42,117.83,22.56,2009/6/12,2009 (June),40.65,Upwelling,114.95,26.95,34.04,0.44,26.93,34.04,1.37,0.06,3.8,0.45,0.03,0.17,0.25,53.04,23.52,76.56,0.31,21.36,48.48,69.84,0.31
43,117.622,22.2958,2009/6/12,2009 (June),32.5,Oligotrophic,131.34,27.75,33.86,0.22,26.12,34.04,1.25,0.08,1.71,0.24,0.04,0.05,0.15,37.44,18.72,56.16,0.33,16.08,37.44,53.52,0.3
44,116.85,23.07,2009/6/13,2009 (June),10.84,Upwelling,13.02,26.27,33.43,1.23,24.99,33.8,3.68,0.24,11.92,1.19,0.33,0.68,0.18,190.8,15.6,206.4,0.08,13.92,78.72,92.64,0.15
45,116.59,22.81,2009/6/13,2009 (June),10.84,Mixed,15.81,28.03,33.28,0.88,27.56,33.54,3.14,0.26,9.19,1.27,0.35,0.68,0.23,159.84,17.76,177.6,0.1,16.32,69.6,85.92,0.19
46,116.82,22.59,2009/6/13,2009 (June),12.2,Oligotrophic,45.87,28.72,32.15,0.61,28.2,32.31,2.45,0.05,2.95,0.54,0.1,0.14,0.3,59.76,18.48,78.24,0.24,15.84,63.36,79.2,0.2
47,117.05,22.34,2009/6/13,2009 (June),43.36,Oligotrophic,85.51,30.66,33.37,0.27,27.5,33.98,2.75,0.05,2.32,0.44,0.04,0.09,0.31,24,13.2,37.44,0.35,10.8,24,34.8,0.31
48,117.1,22.83,2009/6/13,2009 (June),21.7,Oligotrophic,47.86,27.54,33.61,0.22,26.68,33.84,0.95,0.22,4.4,0.21,0.04,0.06,0.11,34.8,10.56,45.36,0.23,12.96,25.2,38.16,0.34
49,116.2,22.67,2009/6/14,2009 (June),8.13,Mixed,16.22,28.03,33.26,0.71,27.69,33.46,3.02,0.12,10.56,0.95,0.28,0.43,0.24,128.16,33.36,161.52,0.21,28.32,123.84,152.16,0.19
50,116.46,22.4,2009/6/14,2009 (June),13.55,Oligotrophic,56.86,28.72,32.15,0.4,28.2,32.3,2.39,0.05,3.4,0.52,0.08,0.14,0.3,54.72,19.2,73.68,0.26,10.8,61.2,72,0.15
51,118.59,22.51,2016/6/18,2016 (June),48.78,Oligotrophic,112.61,29.99,32.19,0.4,26.87,33.83,1.36,0.05,4.62,0.42,0.02,0.07,0.32,26.64,18.24,44.88,0.41,8.4,19.2,27.6,0.3
52,118.26,22.42,2016/6/19,2016 (June),32.52,Oligotrophic,146.76,28.27,32.37,0.34,26.89,34.25,1.39,0.05,3.16,0.35,0.02,0.05,0.28,44.88,24.72,69.6,0.36,10.8,27.84,38.64,0.28
53,117.53,22.44,2016/6/19,2016 (June),37.94,Oligotrophic,110.28,32.31,31.87,0.33,27.63,33.85,2.57,0.04,3.94,0.43,0.03,0.15,0.26,32.4,18.72,50.88,0.37,14.4,27.84,42.24,0.34
54,115.61,22.55,2019/8/17,2019 (August),8.13,Mixed,8.75,28.62,33.98,0.66,27.35,34.19,2.55,0.12,14.09,1.29,0.37,0.58,0.33,177.36,45.12,222.48,0.2,29.76,167.52,197.28,0.15
55,115.82,22.28,2019/8/17,2019 (August),13.55,Oligotrophic,45.1,29.16,34.24,0.52,27.49,34.41,2.67,0.09,8.56,0.81,0.18,0.2,0.42,97.68,39.12,136.8,0.29,28.32,126,154.32,0.18
56,120.22,26.87,2020/8/30,2020 (August),7.59,Plume,1,28.92,26.02,7.7,28.9,26.03,9.77,0.56,23.43,5.45,3.73,1.6,0.12,590.64,48,638.4,0.08,18.24,742.32,760.56,0.02
57,120.21,26.75,2020/8/30,2020 (August),6.78,Plume,3.03,28.95,26.08,5.71,28.84,26.1,8.27,0.59,20.8,4.02,2.71,1.23,0.08,523.44,44.88,568.32,0.08,19.68,642.24,661.92,0.03
58,119.83,26.49,2021/7/3,2021 (July-August),5.69,Plume,1.74,27.45,27.72,2.4,27.2,28.22,10.03,0.33,31.66,2.43,1.45,0.89,0.09,396.72,26.64,423.36,0.06,13.44,468.72,482.16,0.03
59,119.97,26.44,2021/7/4,2021 (July-August),5.15,Plume,4.81,26.98,27.76,3.56,26.76,28.29,8.33,0.27,25.37,3.1,1.76,1.21,0.13,333.6,28.32,361.68,0.08,13.92,390,403.92,0.03
60,118.2,24.53,2021/8/9,2021 (July-August),4.07,Plume,1,28.1,28.47,2.89,27.95,28.94,35.67,1.82,44.73,2.74,0.88,1.68,0.18,177.6,9.12,186.72,0.05,10.32,62.64,72.96,0.14
61,118.23,24.5,2021/8/9,2021 (July-August),3.79,Plume,2.64,28.01,28.88,2.65,27.89,29.19,19.45,1.31,59.73,2.33,0.76,1.42,0.15,71.52,3.12,74.64,0.04,4.32,20.88,25.2,0.17
62,118.02,24.43,2021/8/10,2021 (July-August),1.36,Plume,1,28.16,13.05,2.85,28.13,14.27,57.93,2.51,90.58,2.83,0.9,1.85,0.08,352.08,10.8,362.88,0.03,18.24,80.16,98.4,0.19
63,118.14,24.4,2021/8/10,2021 (July-August),1.9,Plume,1,28.06,23.78,2.43,28.01,24.28,30.66,1.39,44.47,2.41,0.65,1.68,0.08,233.28,7.68,240.96,0.03,12.72,50.64,63.36,0.2
64,118.19,24.35,2021/8/10,2021 (July-August),2.71,Plume,1,27.99,28.91,2.06,27.92,29.43,15.6,0.78,23.2,2.01,0.7,1.22,0.09,146.16,6.96,153.12,0.05,9.12,44.88,54,0.17
65,120.73,26.19,2022/8/15,2022 (August),20.33,Mixed,25.75,27.18,33.42,0.98,26.89,33.42,4.21,0.11,16.63,1.1,0.28,0.48,0.34,95.76,28.8,124.56,0.23,18.72,145.68,164.4,0.11
66,121.15,25.96,2022/8/15,2022 (August),31.17,Oligotrophic,76.83,27.89,33.63,0.49,27.61,33.67,2.6,0.04,11.04,0.51,0.06,0.23,0.21,42.24,9.12,51.36,0.18,12.24,23.04,35.28,0.35
67,119.82,26.21,2022/8/15,2022 (August),0.81,Plume,6.08,25.68,27.12,4.15,25.67,27.12,34.64,1.22,88.16,4.07,2.52,1.42,0.13,395.04,25.2,420.24,0.06,9.84,372,381.84,0.03
68,119.93,26.09,2022/8/15,2022 (August),1.08,Plume,5.01,25.15,28.1,3.6,25.13,28.11,42.95,1.69,114.11,3.54,1.95,1.46,0.12,411.36,30,441.36,0.07,15.84,384.96,400.8,0.04
69,119.75,26.04,2022/8/15,2022 (August),1.36,Plume,5.3,25.9,23.98,3.8,25.89,24,52.33,2.12,174.19,3.72,2.43,1.22,0.07,468.72,17.04,485.76,0.04,7.2,253.44,260.64,0.03
70,119.78,25.94,2022/8/15,2022 (August),1.63,Plume,7.97,25.92,24.27,4.53,25.91,24.29,27.83,1.38,121.39,4.51,2.62,1.78,0.11,516.96,29.52,546.48,0.05,20.4,380.64,401.04,0.05
71,116.75,23.03,2022/8/15,2022 (August),10.84,Mixed,15.38,26.78,33.4,1.26,25.69,33.75,3.63,0.24,11.76,1.22,0.33,0.7,0.19,189.6,14.64,204.48,0.07,12.48,73.2,85.68,0.15
72,116.92,23.49,2022/8/23,2022 (August),2.17,Plume,4.19,26.65,28.98,1.26,26.55,28.98,10.69,0.69,70,1.35,0.5,0.7,0.14,315.12,22.56,337.92,0.07,17.76,142.32,160.08,0.11
73,116.84,23.39,2022/8/23,2022 (August),1.63,Plume,1,26.69,17.65,0.93,26.6,17.65,20.85,0.96,90.5,1,0.38,0.52,0.1,350.88,18.48,369.36,0.05,18.96,119.76,138.72,0.14
74,116.78,23.3,2022/8/23,2022 (August),2.71,Plume,1,26.7,17.95,1.01,26.59,17.96,15.76,0.82,78,1.08,0.42,0.54,0.12,312.96,20.4,333.36,0.06,18.24,125.28,143.52,0.13
